month,item_name,item_category,product_view_events,add_to_cart_events,purchase_events,item_revenue,view_to_cart_rate
2020-11,Google Youth Jumbo Print Tee White,Kids,18,0,0,0.0,0.0
2020-11,Google Mountain View Campus Mug,Sale,22,0,0,0.0,0.0
2020-11,Google Lightweight Crew Sweatshirt Grey,Men's / Unisex,43,0,0,0.0,0.0
2020-11,Android Iconic Pin,Accessories/,114,2,0,0.0,1.75
2020-11,Google Black Cork Journal,Home/Shop by Brand/Google/,28,0,0,0.0,0.0
2020-11,Google Clear Framed Yellow Shades,Home/Shop by Brand/Google/,24,1,0,0.0,4.17
2020-11,Google 16 oz Tumbler Blue,Lifestyle/Drinkware/,762,9,0,0.0,1.18
2020-11,Google 24oz Ring Bottle Blue,Lifestyle/Drinkware/,660,14,0,0.0,2.12
2020-11,Google Land & Sea Unisex Tee,Men's / Unisex,243,37,0,0.0,15.23
2020-11,Google Youth FC Tee Charcoal,Home/Apparel/Kids/,1136,175,0,0.0,15.4
2020-11,Google Kids Playful Tee,Home/Apparel/Kids/,254,40,0,0.0,15.75
2020-11,Android Pocket Youth Tee Green,Home/Apparel/Kids/,172,29,0,0.0,16.86
2020-11,Google Phone Stand Bamboo,Lifestyle/,1269,204,0,0.0,16.08
2020-11,Google Recycled Writing Set,Sale,37,4,0,0.0,10.81
2020-11,Google Pen Citron,Sale,19,2,0,0.0,10.53
2020-11,Google Perk Thermal Tumbler,Home/Shop by Brand/,179,5,0,0.0,2.79
2020-11,Google SF Campus Unisex Tee,Campus Collection,49,7,0,0.0,14.29
2020-11,Google Chicago Campus Tote,Sale,9,1,0,0.0,11.11
2020-11,Google Bellevue Campus Sticker,Home/Sale/,677,85,0,0.0,12.56
2020-11,Google Pen White,Home/Stationery/,1312,183,0,0.0,13.95
2020-11,Android Iconic 4&quot; Decal,Home/Stationery/,60,3,0,0.0,5.0
2020-11,Google Pen Red,Home/Stationery/,56,3,0,0.0,5.36
2020-11,Google Pen Lilac,Home/Stationery/,68,6,0,0.0,8.82
2020-11,Google See-No Hear-No Set,Accessories,5,0,0,0.0,0.0
2020-11,Google Utensil Set,Accessories,1,0,0,0.0,0.0
2020-11,Google NYC Campus Mug,Sale,86,8,0,0.0,9.3
2020-11,Google Perk Thermal Tumbler,Lifestyle/Drinkware/,228,8,0,0.0,3.51
2020-11,Google Sherpa Vest Black,Women's,117,0,0,0.0,0.0
2020-11,Google Clear Framed Yellow Shades,Sale,70,8,0,0.0,11.43
2020-11,Android Pocket Toddler Tee Navy,Android,9,0,0,0.0,0.0
2020-11,Google Campus Bike Corkbase Mug Blue,Mugs & Tumblers/,138,2,0,0.0,1.45
2020-11,Google Perk Thermal Tumbler,Mugs & Tumblers/,155,2,0,0.0,1.29
2020-11,Google Pen Lilac,Home/Stationery/Writing/,12,0,0,0.0,0.0
2020-11,Android Hipster Pin,Home/Shop by Brand/Android/,78,0,0,0.0,0.0
2020-11,Google F/C Long Sleeve Tee Ash,Women's T-Shirts/,10,0,0,0.0,0.0
2020-11,YouTube Women's Favorite Tee White,Women's T-Shirts/,8,0,0,0.0,0.0
2020-11,Flamingo and Friends Tee Blue,Men's / Unisex,80,1,0,0.0,1.25
2020-11,Google Tee Green,,13,0,0,0.0,0.0
2020-11,#IamRemarkable Lapel Pin,,7,2,0,0.0,28.57
2020-11,Google Boulder Campus Sticker,Home/Campus Collection/,93,13,0,0.0,13.98
2020-11,Google Unisex Pride Eco-Tee Black,Home/Eco-Friendly/,36,1,0,0.0,2.78
2020-11,Google Women's Tech Fleece Vest Charcoal,Home/Apparel/Women's/,164,9,0,0.0,5.49
2020-11,Google Mini Kick Ball,Home/Shop by Brand/,84,19,0,0.0,22.62
